613;612;700,AS009,C1M031,"Revelle: Blake, Argo, Urey Hall"
750;749;792;817;820;816,AS010,C1M057,"Muir: Tamarack E, Tamarack W, Tuolumne T East, McGill Hall, Mandler Hall, Roots and Pines"
804;803;799;None;789;782;751,AS064,C1M059,"Muir: Tuolumne S North, Tuolumne S West, Tuolumne S East, Tuolumne, Tuolumne T North, Tuolumne T South, Tioga, "
752;816;824;847;855;850;1121;854;851;861;868;864;865;860;867;866;1061;859;856;846;843;842,AS014,C1M060,"Muir: Tenaya, Roots and Pines, Roots and Pines Annex, Extended Studies and Public Programs Buildings"
671,AS012,C2M015,Rita Atkinson Residences
725;720;729,AS051,C3M039,"Residence Hall 703, 704, 705"
736;739;723,AS052,C3M041,"Residence Hall 706, Camp Snoopy Student Services, 789 Camp Snoopy"
746;785;794;796,AS053,C3M042,"Residence Hall 707, 708, 709, 710 "
961;959;857;1120,AS029,C3M149,"Marshall Lower Apartments - F, B, Marshall College Dean's Residence, Fireside Lounge"
960;848;1132;1103,AS061,C3M150,"Marshall Lower Apartments - A, 103/A Marshall College, Eucalyptus Point"
753;1091;1101;1036;10135,AS062,C3M152,"Marshall Upper Apartments - J; Goody's Place, Thurgood Marshall College Administration Building, Economics Building, Sequoyah Hall"
762;757;755;760;761,AS063,C3M158,"Marshall Upper Apartments - G, H, K, L, M"
957;758;958,AS060,C3M159,"Marshall Lower Apartments - C, D, E"
955;754;759,AS058,C3M097,"Warren Apts - Black, Brennan, Goldberg"
1099;1069;858;869;955,AS057,C3M095,"Engineering Building Unit II, Warren Student Activity Center, Computer Science and Engineering Building, Atkinson Hall; Warren: Black Apts"
769;767;765;754;1068;878,AS074,C3M091,"Warren: Harlan Hall; Frankfurter Hall; Stewart Hall; Brennan Apts, Douglas Apts; Canyon Vista"
726,AS070,C3M026,Pepper Canyon Apts (1500)
743;738;730;741,AS071,C3M027,"Pepper Canyon Apts (1300, 1400); Pepper Canyon South Laundry; Pepper Canyon Asst Dean Residence"
802;791;781;745,AS072,C3M008,"Pepper Canyon Apts (300, 500, 600, 700)"
813;815;810;806,AS073,C3M010,"Pepper Canyon Apts (100, 200, 400); Pepper Canyon North Laundry"
727;719,AS059,C3M022,"Pepper Canyon Apts 1200, 1800"
939;940;945;946;1003,AS018,C6M021,"One Miramar Street 1, 2, 3, 4, 5"
939;940;945,AS013,C6M025,"One Miramar Street 1, 2,3"
1146,AS016,C6M088,Neuva West - Brisa
1146;1145;1109;1153,AS015,C6M092,"Neuva West - Brisa, Viento, Ola, Marketplace (CLOSED)"
1149,AS017,C6M094,Nuevo East - Piedra
1147;1151,AS019,C6M095,"Nuevo East - Capa, Astilla"
1148,AS020,C6M097,Nuevo East - Porton
1148;1152,AS021,C6M098,"Nuevo East - Porton, Exchange"
1106;1107,AS003,C6M075,"Mesa Nueva - Cresta, Artesa"
1108,AS002,C6M072,Mesa Nueva - Cala
